,cuentas,valor,trimestre,year
0,Ingresos de Actividades Ordinarias,"940,883",I,2017
1,Ganancia (Pérdida) Bruta,"305,699",I,2017
2,Ganancia (Pérdida) Operativa,"98,145",I,2017
3,Ganancia (Pérdida) antes de Impuestos,"111,239",I,2017
4,Ganancia (Pérdida) Neta del Ejercicio,"81,907",I,2017
0,Ingresos de Actividades Ordinarias,"1,064,539",II,2017
1,Ganancia (Pérdida) Bruta,"344,790",II,2017
2,Ganancia (Pérdida) Operativa,"119,376",II,2017
3,Ganancia (Pérdida) antes de Impuestos,"156,193",II,2017
4,Ganancia (Pérdida) Neta del Ejercicio,"126,295",II,2017
0,Ingresos de Actividades Ordinarias,"1,132,336",III,2017
1,Ganancia (Pérdida) Bruta,"385,298",III,2017
2,Ganancia (Pérdida) Operativa,"126,447",III,2017
3,Ganancia (Pérdida) antes de Impuestos,"150,700",III,2017
4,Ganancia (Pérdida) Neta del Ejercicio,"117,867",III,2017
0,Ingresos de Actividades Ordinarias,"1,092,512",IV,2017
1,Ganancia (Pérdida) Bruta,"372,392",IV,2017
2,Ganancia (Pérdida) Operativa,"135,834",IV,2017
3,Ganancia (Pérdida) antes de Impuestos,"152,629",IV,2017
4,Ganancia (Pérdida) Neta del Ejercicio,"127,026",IV,2017
0,Ingresos de Actividades Ordinarias,"978,746",I,2018
1,Ganancia (Pérdida) Bruta,"278,818",I,2018
2,Ganancia (Pérdida) Operativa,"103,153",I,2018
3,Ganancia (Pérdida) antes de Impuestos,"133,812",I,2018
4,Ganancia (Pérdida) Neta del Ejercicio,"103,205",I,2018
0,Ingresos de Actividades Ordinarias,"1,073,809",II,2018
1,Ganancia (Pérdida) Bruta,"297,689",II,2018
2,Ganancia (Pérdida) Operativa,"126,063",II,2018
3,Ganancia (Pérdida) antes de Impuestos,"156,099",II,2018
4,Ganancia (Pérdida) Neta del Ejercicio,"125,422",II,2018
0,Ingresos de Actividades Ordinarias,"1,146,424",III,2018
1,Ganancia (Pérdida) Bruta,"316,221",III,2018
2,Ganancia (Pérdida) Operativa,"117,571",III,2018
3,Ganancia (Pérdida) antes de Impuestos,"167,014",III,2018
4,Ganancia (Pérdida) Neta del Ejercicio,"135,406",III,2018
0,Ingresos de Actividades Ordinarias,"1,155,510",IV,2018
1,Ganancia (Pérdida) Bruta,"319,620",IV,2018
2,Ganancia (Pérdida) Operativa,"150,300",IV,2018
3,Ganancia (Pérdida) antes de Impuestos,"128,247",IV,2018
4,Ganancia (Pérdida) Neta del Ejercicio,"90,995",IV,2018
0,Ingresos de Actividades Ordinarias,"1,034,992",I,2019
1,Ganancia (Pérdida) Bruta,"297,740",I,2019
2,Ganancia (Pérdida) Operativa,"108,479",I,2019
3,Ganancia (Pérdida) antes de Impuestos,"117,390",I,2019
4,Ganancia (Pérdida) Neta del Ejercicio,"91,623",I,2019
0,Ingresos de Actividades Ordinarias,"1,107,806",II,2019
1,Ganancia (Pérdida) Bruta,"326,849",II,2019
2,Ganancia (Pérdida) Operativa,"127,550",II,2019
3,Ganancia (Pérdida) antes de Impuestos,"124,160",II,2019
4,Ganancia (Pérdida) Neta del Ejercicio,"103,590",II,2019
0,Ingresos de Actividades Ordinarias,"1,197,212",III,2019
1,Ganancia (Pérdida) Bruta,"342,287",III,2019
2,Ganancia (Pérdida) Operativa,"144,579",III,2019
3,Ganancia (Pérdida) antes de Impuestos,"184,862",III,2019
4,Ganancia (Pérdida) Neta del Ejercicio,"158,882",III,2019
0,Ingresos de Actividades Ordinarias,"1,347,520",IV,2019
1,Ganancia (Pérdida) Bruta,"361,994",IV,2019
2,Ganancia (Pérdida) Operativa,"170,386",IV,2019
3,Ganancia (Pérdida) antes de Impuestos,"155,482",IV,2019
4,Ganancia (Pérdida) Neta del Ejercicio,"122,133",IV,2019
0,Ingresos de Actividades Ordinarias,"1,298,565",I,2020
1,Ganancia (Pérdida) Bruta,"363,469",I,2020
2,Ganancia (Pérdida) Operativa,"97,056",I,2020
3,Ganancia (Pérdida) antes de Impuestos,"29,682",I,2020
4,Ganancia (Pérdida) Neta del Ejercicio,"8,325",I,2020
0,Ingresos de Actividades Ordinarias,"1,095,017",II,2020
1,Ganancia (Pérdida) Bruta,"271,924",II,2020
2,Ganancia (Pérdida) Operativa,"65,724",II,2020
3,Ganancia (Pérdida) antes de Impuestos,"78,723",II,2020
4,Ganancia (Pérdida) Neta del Ejercicio,"82,034",II,2020
0,Ingresos de Actividades Ordinarias,"1,457,239",III,2020
1,Ganancia (Pérdida) Bruta,"333,751",III,2020
2,Ganancia (Pérdida) Operativa,"121,981",III,2020
3,Ganancia (Pérdida) antes de Impuestos,"180,937",III,2020
4,Ganancia (Pérdida) Neta del Ejercicio,"158,904",III,2020
0,Ingresos de Actividades Ordinarias,"1,422,679",IV,2020
1,Ganancia (Pérdida) Bruta,"352,508",IV,2020
2,Ganancia (Pérdida) Operativa,"116,814",IV,2020
3,Ganancia (Pérdida) antes de Impuestos,"100,743",IV,2020
4,Ganancia (Pérdida) Neta del Ejercicio,"78,130",IV,2020
0,Ingresos de Actividades Ordinarias,"1,786,325",I,2021
1,Ganancia (Pérdida) Bruta,"415,493",I,2021
2,Ganancia (Pérdida) Operativa,"175,292",I,2021
3,Ganancia (Pérdida) antes de Impuestos,"175,356",I,2021
4,Ganancia (Pérdida) Neta del Ejercicio,"134,241",I,2021
0,Ingresos de Actividades Ordinarias,"1,529,393",II,2021
1,Ganancia (Pérdida) Bruta,"287,731",II,2021
2,Ganancia (Pérdida) Operativa,"45,435",II,2021
3,Ganancia (Pérdida) antes de Impuestos,"42,011",II,2021
4,Ganancia (Pérdida) Neta del Ejercicio,"44,030",II,2021
0,Ingresos de Actividades Ordinarias,"1,562,741",III,2021
1,Ganancia (Pérdida) Bruta,"297,175",III,2021
2,Ganancia (Pérdida) Operativa,"64,668",III,2021
3,Ganancia (Pérdida) antes de Impuestos,"98,346",III,2021
4,Ganancia (Pérdida) Neta del Ejercicio,"97,723",III,2021
0,Ingresos de Actividades Ordinarias,"1,599,576",IV,2021
1,Ganancia (Pérdida) Bruta,"243,585",IV,2021
2,Ganancia (Pérdida) Operativa,"(24,631)",IV,2021
3,Ganancia (Pérdida) antes de Impuestos,"(326,225)",IV,2021
4,Ganancia (Pérdida) Neta del Ejercicio,"(309,984)",IV,2021
0,Ingresos de Actividades Ordinarias,"1,650,058",I,2022
1,Ganancia (Pérdida) Bruta,"302,474",I,2022
2,Ganancia (Pérdida) Operativa,"108,064",I,2022
3,Ganancia (Pérdida) antes de Impuestos,"171,274",I,2022
4,Ganancia (Pérdida) Neta del Ejercicio,"158,048",I,2022
0,Ingresos de Actividades Ordinarias,"1,882,888",II,2022
1,Ganancia (Pérdida) Bruta,"349,048",II,2022
2,Ganancia (Pérdida) Operativa,"97,551",II,2022
3,Ganancia (Pérdida) antes de Impuestos,"153,871",II,2022
4,Ganancia (Pérdida) Neta del Ejercicio,"141,091",II,2022
0,Ingresos de Actividades Ordinarias,"1,897,880",III,2022
1,Ganancia (Pérdida) Bruta,"354,931",III,2022
2,Ganancia (Pérdida) Operativa,"84,348",III,2022
3,Ganancia (Pérdida) antes de Impuestos,"145,490",III,2022
4,Ganancia (Pérdida) Neta del Ejercicio,"124,709",III,2022
0,Ingresos de Actividades Ordinarias,"1,906,933",IV,2022
1,Ganancia (Pérdida) Bruta,"330,382",IV,2022
2,Ganancia (Pérdida) Operativa,"46,074",IV,2022
3,Ganancia (Pérdida) antes de Impuestos,"90,975",IV,2022
4,Ganancia (Pérdida) Neta del Ejercicio,"100,294",IV,2022
0,Ingresos de Actividades Ordinarias,"1,672,043",I,2023
1,Ganancia (Pérdida) Bruta,"305,436",I,2023
2,Ganancia (Pérdida) Operativa,"62,912",I,2023
3,Ganancia (Pérdida) antes de Impuestos,"10,207",I,2023
4,Ganancia (Pérdida) Neta del Ejercicio,"3,546",I,2023
0,Ingresos de Actividades Ordinarias,"1,626,870",II,2023
1,Ganancia (Pérdida) Bruta,"368,127",II,2023
2,Ganancia (Pérdida) Operativa,"112,030",II,2023
3,Ganancia (Pérdida) antes de Impuestos,"99,629",II,2023
4,Ganancia (Pérdida) Neta del Ejercicio,"84,958",II,2023
0,Ingresos de Actividades Ordinarias,"1,725,073",III,2023
1,Ganancia (Pérdida) Bruta,"471,530",III,2023
2,Ganancia (Pérdida) Operativa,"200,085",III,2023
3,Ganancia (Pérdida) antes de Impuestos,"117,075",III,2023
4,Ganancia (Pérdida) Neta del Ejercicio,"76,669",III,2023
0,Ingresos de Actividades Ordinarias,"1,668,693",IV,2023
1,Ganancia (Pérdida) Bruta,"445,603",IV,2023
2,Ganancia (Pérdida) Operativa,"142,197",IV,2023
3,Ganancia (Pérdida) antes de Impuestos,"97,727",IV,2023
4,Ganancia (Pérdida) Neta del Ejercicio,"72,924",IV,2023
0,Ingresos de Actividades Ordinarias,"1,461,048",I,2024
1,Ganancia (Pérdida) Bruta,"420,996",I,2024
2,Ganancia (Pérdida) Operativa,"155,338",I,2024
3,Ganancia (Pérdida) antes de Impuestos,"109,685",I,2024
4,Ganancia (Pérdida) Neta del Ejercicio,"81,440",I,2024
0,Ingresos de Actividades Ordinarias,"1,551,225",II,2024
1,Ganancia (Pérdida) Bruta,"505,003",II,2024
2,Ganancia (Pérdida) Operativa,"199,241",II,2024
3,Ganancia (Pérdida) antes de Impuestos,"241,342",II,2024
4,Ganancia (Pérdida) Neta del Ejercicio,"190,011",II,2024
